ehead,ctryname,cowcode2,politycode,un_region_name,un_continent_name,leaderspellreg,democracy,regime,start_year,end_year,duration,observed
Otmar Hasler,Liechtenstein,223,223.0,Western Europe,Europe,Otmar Hasler.Liechtenstein.2001.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2001,2008,8,0
Gediminas Vagnorius,Lithuania,368,368.0,Northern Europe,Europe,Gediminas Vagnorius.Lithuania.1991.1991.Mixed Dem,Democracy,Mixed Dem,1991,1991,1,1
Bronislovas Lubys,Lithuania,368,368.0,Northern Europe,Europe,Bronislovas Lubys.Lithuania.1992.1992.Mixed Dem,Democracy,Mixed Dem,1992,1992,1,1
Adolfas Slezevicius,Lithuania,368,368.0,Northern Europe,Europe,Adolfas Slezevicius.Lithuania.1993.1995.Mixed Dem,Democracy,Mixed Dem,1993,1995,3,1
Gediminas Vagnorius,Lithuania,368,368.0,Northern Europe,Europe,Gediminas Vagnorius.Lithuania.1996.1998.Mixed Dem,Democracy,Mixed Dem,1996,1998,3,1
Andrius Kubilius,Lithuania,368,368.0,Northern Europe,Europe,Andrius Kubilius.Lithuania.1999.1999.Mixed Dem,Democracy,Mixed Dem,1999,1999,1,1
Rolandas Paksas,Lithuania,368,368.0,Northern Europe,Europe,Rolandas Paksas.Lithuania.2000.2000.Mixed Dem,Democracy,Mixed Dem,2000,2000,1,1
Algirdas Brazauskas,Lithuania,368,368.0,Northern Europe,Europe,Algirdas Brazauskas.Lithuania.2001.2005.Mixed Dem,Democracy,Mixed Dem,2001,2005,5,1
Gediminas Kirkilas,Lithuania,368,368.0,Northern Europe,Europe,Gediminas Kirkilas.Lithuania.2006.2007.Mixed Dem,Democracy,Mixed Dem,2006,2007,2,1
Andrius Kubilius,Lithuania,368,368.0,Northern Europe,Europe,Andrius Kubilius.Lithuania.2008.2008.Mixed Dem,Democracy,Mixed Dem,2008,2008,1,0
Pierre Dupong,Luxembourg,212,212.0,Western Europe,Europe,Pierre Dupong.Luxembourg.1946.1952.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1952,7,0
Joseph Bech,Luxembourg,212,212.0,Western Europe,Europe,Joseph Bech.Luxembourg.1953.1957.Parliamentary Dem,Democracy,Parliamentary Dem,1953,1957,5,1
Pierre Frieden,Luxembourg,212,212.0,Western Europe,Europe,Pierre Frieden.Luxembourg.1958.1958.Parliamentary Dem,Democracy,Parliamentary Dem,1958,1958,1,1
Pierre Werner,Luxembourg,212,212.0,Western Europe,Europe,Pierre Werner.Luxembourg.1959.1973.Parliamentary Dem,Democracy,Parliamentary Dem,1959,1973,15,1
Gaston Thorn,Luxembourg,212,212.0,Western Europe,Europe,Gaston Thorn.Luxembourg.1974.1978.Parliamentary Dem,Democracy,Parliamentary Dem,1974,1978,5,1
Pierre Werner,Luxembourg,212,212.0,Western Europe,Europe,Pierre Werner.Luxembourg.1979.1983.Parliamentary Dem,Democracy,Parliamentary Dem,1979,1983,5,1
Jacques Santer,Luxembourg,212,212.0,Western Europe,Europe,Jacques Santer.Luxembourg.1984.1994.Parliamentary Dem,Democracy,Parliamentary Dem,1984,1994,11,1
Jean-Claude Juncker,Luxembourg,212,212.0,Western Europe,Europe,Jean-Claude Juncker.Luxembourg.1995.2008.Parliamentary Dem,Democracy,Parliamentary Dem,1995,2008,14,0
Nikola Kljusev,Macedonia,343,343.0,Southern Europe,Europe,Nikola Kljusev.Macedonia.1991.1991.Mixed Dem,Democracy,Mixed Dem,1991,1991,1,1
Branko Crvenkovski,Macedonia,343,343.0,Southern Europe,Europe,Branko Crvenkovski.Macedonia.1992.1997.Mixed Dem,Democracy,Mixed Dem,1992,1997,6,1
Ljupco Georgievski,Macedonia,343,343.0,Southern Europe,Europe,Ljupco Georgievski.Macedonia.1998.2001.Mixed Dem,Democracy,Mixed Dem,1998,2001,4,1
Branko Crvenkovski,Macedonia,343,343.0,Southern Europe,Europe,Branko Crvenkovski.Macedonia.2002.2003.Mixed Dem,Democracy,Mixed Dem,2002,2003,2,1
Vlado Buckovski,Macedonia,343,343.0,Southern Europe,Europe,Vlado Buckovski.Macedonia.2004.2005.Mixed Dem,Democracy,Mixed Dem,2004,2005,2,1
Nikola Gruevski,Macedonia,343,343.0,Southern Europe,Europe,Nikola Gruevski.Macedonia.2006.2008.Mixed Dem,Democracy,Mixed Dem,2006,2008,3,0
Philibert Tsiranana,Madagascar,580,580.0,Eastern Africa,Africa,Philibert Tsiranana.Madagascar.1960.1971.Civilian Dict,Non-democracy,Civilian Dict,1960,1971,12,1
Gabriel Ramanantsoa,Madagascar,580,580.0,Eastern Africa,Africa,Gabriel Ramanantsoa.Madagascar.1972.1974.Military Dict,Non-democracy,Military Dict,1972,1974,3,1
Didier Ratsiraka,Madagascar,580,580.0,Eastern Africa,Africa,Didier Ratsiraka.Madagascar.1975.1992.Military Dict,Non-democracy,Military Dict,1975,1992,18,1
Francisque Ravony,Madagascar,580,580.0,Eastern Africa,Africa,Francisque Ravony.Madagascar.1993.1994.Mixed Dem,Democracy,Mixed Dem,1993,1994,2,1
Emmanuel Rakotovahiny,Madagascar,580,580.0,Eastern Africa,Africa,Emmanuel Rakotovahiny.Madagascar.1995.1995.Mixed Dem,Democracy,Mixed Dem,1995,1995,1,1
Norbert Ratsirahonana,Madagascar,580,580.0,Eastern Africa,Africa,Norbert Ratsirahonana.Madagascar.1996.1996.Mixed Dem,Democracy,Mixed Dem,1996,1996,1,1
Pascal Rakotomavo,Madagascar,580,580.0,Eastern Africa,Africa,Pascal Rakotomavo.Madagascar.1997.1997.Mixed Dem,Democracy,Mixed Dem,1997,1997,1,1
Rene Tantely Andrianarivo,Madagascar,580,580.0,Eastern Africa,Africa,Rene Tantely Andrianarivo.Madagascar.1998.2001.Mixed Dem,Democracy,Mixed Dem,1998,2001,4,1
Jacques Sylla,Madagascar,580,580.0,Eastern Africa,Africa,Jacques Sylla.Madagascar.2002.2006.Mixed Dem,Democracy,Mixed Dem,2002,2006,5,1
Charles Rabemananjara,Madagascar,580,580.0,Eastern Africa,Africa,Charles Rabemananjara.Madagascar.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2008,2,0
H. Kamuzu Banda,Malawi,553,553.0,Eastern Africa,Africa,H. Kamuzu Banda.Malawi.1964.1993.Civilian Dict,Non-democracy,Civilian Dict,1964,1993,30,1
Bakili Muluzi,Malawi,553,553.0,Eastern Africa,Africa,Bakili Muluzi.Malawi.1994.2003.Presidential Dem,Democracy,Presidential Dem,1994,2003,10,1
Bingu wa Mutharika,Malawi,553,553.0,Eastern Africa,Africa,Bingu wa Mutharika.Malawi.2004.2008.Presidential Dem,Democracy,Presidential Dem,2004,2008,5,0
Tunku Abdul Rahman Putra,Malaysia,820,820.0,South-Eastern Asia,Asia,Tunku Abdul Rahman Putra.Malaysia.1957.1969.Civilian Dict,Non-democracy,Civilian Dict,1957,1969,13,1
Tun Abdul Razak bin Hussein,Malaysia,820,820.0,South-Eastern Asia,Asia,Tun Abdul Razak bin Hussein.Malaysia.1970.1975.Civilian Dict,Non-democracy,Civilian Dict,1970,1975,6,0
Hussein bin Onn,Malaysia,820,820.0,South-Eastern Asia,Asia,Hussein bin Onn.Malaysia.1976.1980.Civilian Dict,Non-democracy,Civilian Dict,1976,1980,5,1
Mahathir bin Mohamed,Malaysia,820,820.0,South-Eastern Asia,Asia,Mahathir bin Mohamed.Malaysia.1981.2002.Civilian Dict,Non-democracy,Civilian Dict,1981,2002,22,1
Abdullah Ahmad Badawi,Malaysia,820,820.0,South-Eastern Asia,Asia,Abdullah Ahmad Badawi.Malaysia.2003.2008.Civilian Dict,Non-democracy,Civilian Dict,2003,2008,6,0
Muhammad Farid Didi,Maldives,781,781.0,Southern Asia,Asia,Muhammad Farid Didi.Maldives.1965.1967.Monarchy,Non-democracy,Monarchy,1965,1967,3,1
Ibrahim Nasir,Maldives,781,781.0,Southern Asia,Asia,Ibrahim Nasir.Maldives.1968.1977.Civilian Dict,Non-democracy,Civilian Dict,1968,1977,10,1
Maumoon Abdul Gayoom,Maldives,781,781.0,Southern Asia,Asia,Maumoon Abdul Gayoom.Maldives.1978.2007.Civilian Dict,Non-democracy,Civilian Dict,1978,2007,30,1
Mohamed Nasheed,Maldives,781,781.0,Southern Asia,Asia,Mohamed Nasheed.Maldives.2008.2008.Presidential Dem,Democracy,Presidential Dem,2008,2008,1,0
Modibo Keita,Mali,432,432.0,Western Africa,Africa,Modibo Keita.Mali.1960.1967.Civilian Dict,Non-democracy,Civilian Dict,1960,1967,8,1
Moussa Traore,Mali,432,432.0,Western Africa,Africa,Moussa Traore.Mali.1968.1990.Military Dict,Non-democracy,Military Dict,1968,1990,23,1
Amadou Toumani Toure,Mali,432,432.0,Western Africa,Africa,Amadou Toumani Toure.Mali.1991.1991.Military Dict,Non-democracy,Military Dict,1991,1991,1,1
Younoussi Toure,Mali,432,432.0,Western Africa,Africa,Younoussi Toure.Mali.1992.1992.Mixed Dem,Democracy,Mixed Dem,1992,1992,1,1
Abdoulaye Sekou Sow,Mali,432,432.0,Western Africa,Africa,Abdoulaye Sekou Sow.Mali.1993.1993.Mixed Dem,Democracy,Mixed Dem,1993,1993,1,1
Ibrahima Boubacar Keita,Mali,432,432.0,Western Africa,Africa,Ibrahima Boubacar Keita.Mali.1994.1999.Mixed Dem,Democracy,Mixed Dem,1994,1999,6,1
Mande Sidibe,Mali,432,432.0,Western Africa,Africa,Mande Sidibe.Mali.2000.2001.Mixed Dem,Democracy,Mixed Dem,2000,2001,2,1
Ahmed Mohamed Ag Hamani,Mali,432,432.0,Western Africa,Africa,Ahmed Mohamed Ag Hamani.Mali.2002.2003.Mixed Dem,Democracy,Mixed Dem,2002,2003,2,1
Ousmane Issoufi Maiga,Mali,432,432.0,Western Africa,Africa,Ousmane Issoufi Maiga.Mali.2004.2006.Mixed Dem,Democracy,Mixed Dem,2004,2006,3,1
Modibo Sidibe,Mali,432,432.0,Western Africa,Africa,Modibo Sidibe.Mali.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2008,2,0
George Borg Olivier,Malta,338,338.0,Southern Europe,Europe,George Borg Olivier.Malta.1964.1970.Parliamentary Dem,Democracy,Parliamentary Dem,1964,1970,7,1
Dominic Mintoff,Malta,338,338.0,Southern Europe,Europe,Dominic Mintoff.Malta.1971.1983.Parliamentary Dem,Democracy,Parliamentary Dem,1971,1983,13,1
Carmelo Mifsud-Bonnici,Malta,338,338.0,Southern Europe,Europe,Carmelo Mifsud-Bonnici.Malta.1984.1986.Parliamentary Dem,Democracy,Parliamentary Dem,1984,1986,3,1
Eddie Fenech Adami,Malta,338,338.0,Southern Europe,Europe,Eddie Fenech Adami.Malta.1987.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1987,1995,9,1
Alfred Sant,Malta,338,338.0,Southern Europe,Europe,Alfred Sant.Malta.1996.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1996,1997,2,1
Eddie Fenech Adami,Malta,338,338.0,Southern Europe,Europe,Eddie Fenech Adami.Malta.1998.2003.Parliamentary Dem,Democracy,Parliamentary Dem,1998,2003,6,1
Lawrence Gonzi,Malta,338,338.0,Southern Europe,Europe,Lawrence Gonzi.Malta.2004.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2004,2008,5,0
Amata Kabua,Marshall Islands,983,983.0,Micronesia,Oceania,Amata Kabua.Marshall Islands.1990.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1990,1995,6,0
Kunio Lemari,Marshall Islands,983,983.0,Micronesia,Oceania,Kunio Lemari.Marshall Islands.1996.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1996,1996,1,1
Imata Kabua,Marshall Islands,983,983.0,Micronesia,Oceania,Imata Kabua.Marshall Islands.1997.1999.Parliamentary Dem,Democracy,Parliamentary Dem,1997,1999,3,1
Kessai Note,Marshall Islands,983,983.0,Micronesia,Oceania,Kessai Note.Marshall Islands.2000.2007.Parliamentary Dem,Democracy,Parliamentary Dem,2000,2007,8,1
Litokwa Tomeing,Marshall Islands,983,983.0,Micronesia,Oceania,Litokwa Tomeing.Marshall Islands.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,2008,1,0
Moktar Ould Daddah,Mauritania,435,435.0,Western Africa,Africa,Moktar Ould Daddah.Mauritania.1960.1977.Civilian Dict,Non-democracy,Civilian Dict,1960,1977,18,1
Mustapha Ould Salek,Mauritania,435,435.0,Western Africa,Africa,Mustapha Ould Salek.Mauritania.1978.1978.Military Dict,Non-democracy,Military Dict,1978,1978,1,1
Mahmed Ould Louly,Mauritania,435,435.0,Western Africa,Africa,Mahmed Ould Louly.Mauritania.1979.1979.Military Dict,Non-democracy,Military Dict,1979,1979,1,1
Mohammed Khouna Ould Haydalla,Mauritania,435,435.0,Western Africa,Africa,Mohammed Khouna Ould Haydalla.Mauritania.1980.1983.Military Dict,Non-democracy,Military Dict,1980,1983,4,1
Moaouya Ould Sidi Ahmed Taya,Mauritania,435,435.0,Western Africa,Africa,Moaouya Ould Sidi Ahmed Taya.Mauritania.1984.2004.Military Dict,Non-democracy,Military Dict,1984,2004,21,1
Ely Ould Mohamed Vall,Mauritania,435,435.0,Western Africa,Africa,Ely Ould Mohamed Vall.Mauritania.2005.2006.Military Dict,Non-democracy,Military Dict,2005,2006,2,1
Zeine Ould Zeidane,Mauritania,435,435.0,Western Africa,Africa,Zeine Ould Zeidane.Mauritania.2007.2007.Mixed Dem,Democracy,Mixed Dem,2007,2007,1,1
Mohamed Ould Abdel Aziz,Mauritania,435,435.0,Western Africa,Africa,Mohamed Ould Abdel Aziz.Mauritania.2008.2008.Military Dict,Non-democracy,Military Dict,2008,2008,1,0
Seewoosagur Ramgoolam,Mauritius,590,590.0,Eastern Africa,Africa,Seewoosagur Ramgoolam.Mauritius.1968.1981.Parliamentary Dem,Democracy,Parliamentary Dem,1968,1981,14,1
Anerood Jugnauth,Mauritius,590,590.0,Eastern Africa,Africa,Anerood Jugnauth.Mauritius.1982.1994.Parliamentary Dem,Democracy,Parliamentary Dem,1982,1994,13,1
Navin Ramgoolam,Mauritius,590,590.0,Eastern Africa,Africa,Navin Ramgoolam.Mauritius.1995.1999.Parliamentary Dem,Democracy,Parliamentary Dem,1995,1999,5,1
Anerood Jugnauth,Mauritius,590,590.0,Eastern Africa,Africa,Anerood Jugnauth.Mauritius.2000.2002.Parliamentary Dem,Democracy,Parliamentary Dem,2000,2002,3,1
Paul Raymond Berenger,Mauritius,590,590.0,Eastern Africa,Africa,Paul Raymond Berenger.Mauritius.2003.2004.Parliamentary Dem,Democracy,Parliamentary Dem,2003,2004,2,1
Navin(chandra) Ramgoolam,Mauritius,590,590.0,Eastern Africa,Africa,Navin(chandra) Ramgoolam.Mauritius.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,2008,4,0
Miguel Aleman,Mexico,70,70.0,Central America,America,Miguel Aleman.Mexico.1946.1951.Civilian Dict,Non-democracy,Civilian Dict,1946,1951,6,1
Adolfo Ruiz Cortines,Mexico,70,70.0,Central America,America,Adolfo Ruiz Cortines.Mexico.1952.1957.Military Dict,Non-democracy,Military Dict,1952,1957,6,1
Adolfo Lopez Mateos,Mexico,70,70.0,Central America,America,Adolfo Lopez Mateos.Mexico.1958.1963.Civilian Dict,Non-democracy,Civilian Dict,1958,1963,6,1
Gustavo Diaz Ordaz,Mexico,70,70.0,Central America,America,Gustavo Diaz Ordaz.Mexico.1964.1969.Civilian Dict,Non-democracy,Civilian Dict,1964,1969,6,1
Luis Echeverria Alvarez,Mexico,70,70.0,Central America,America,Luis Echeverria Alvarez.Mexico.1970.1975.Civilian Dict,Non-democracy,Civilian Dict,1970,1975,6,1
Jose Lopez Portillo,Mexico,70,70.0,Central America,America,Jose Lopez Portillo.Mexico.1976.1981.Civilian Dict,Non-democracy,Civilian Dict,1976,1981,6,1
Miguel de la Madrid,Mexico,70,70.0,Central America,America,Miguel de la Madrid.Mexico.1982.1987.Civilian Dict,Non-democracy,Civilian Dict,1982,1987,6,1
Carlos Salinas de Gortari,Mexico,70,70.0,Central America,America,Carlos Salinas de Gortari.Mexico.1988.1993.Civilian Dict,Non-democracy,Civilian Dict,1988,1993,6,1
Ernesto Zedillo,Mexico,70,70.0,Central America,America,Ernesto Zedillo.Mexico.1994.1999.Civilian Dict,Non-democracy,Civilian Dict,1994,1999,6,1
Vicente Fox Quesada,Mexico,70,70.0,Central America,America,Vicente Fox Quesada.Mexico.2000.2005.Presidential Dem,Democracy,Presidential Dem,2000,2005,6,1
Felipe de Jesus Calderon Hinojosa,Mexico,70,70.0,Central America,America,Felipe de Jesus Calderon Hinojosa.Mexico.2006.2008.Presidential Dem,Democracy,Presidential Dem,2006,2008,3,0
Bailey Olter,"Micronesia, Federated States of",987,987.0,Micronesia,Oceania,"Bailey Olter.Micronesia, Federated States of.1991.1995.Presidential Dem",Democracy,Presidential Dem,1991,1995,5,1
Jacob Nena,"Micronesia, Federated States of",987,987.0,Micronesia,Oceania,"Jacob Nena.Micronesia, Federated States of.1996.1998.Presidential Dem",Democracy,Presidential Dem,1996,1998,3,1
Leo Falcam,"Micronesia, Federated States of",987,987.0,Micronesia,Oceania,"Leo Falcam.Micronesia, Federated States of.1999.2002.Presidential Dem",Democracy,Presidential Dem,1999,2002,4,1
Joseph J. Urusemal,"Micronesia, Federated States of",987,987.0,Micronesia,Oceania,"Joseph J. Urusemal.Micronesia, Federated States of.2003.2006.Presidential Dem",Democracy,Presidential Dem,2003,2006,4,1
Manny Mori,"Micronesia, Federated States of",987,987.0,Micronesia,Oceania,"Manny Mori.Micronesia, Federated States of.2007.2008.Presidential Dem",Democracy,Presidential Dem,2007,2008,2,0
Mirecea Snegur,Moldova,359,359.0,Eastern Europe,Europe,Mirecea Snegur.Moldova.1991.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1991,1995,5,1
Andrei Sangheli,Moldova,359,359.0,Eastern Europe,Europe,Andrei Sangheli.Moldova.1996.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1996,1996,1,1
Ion Ciubuc,Moldova,359,359.0,Eastern Europe,Europe,Ion Ciubuc.Moldova.1997.1998.Mixed Dem,Democracy,Mixed Dem,1997,1998,2,1
Dumitru Braghis,Moldova,359,359.0,Eastern Europe,Europe,Dumitru Braghis.Moldova.1999.1999.Mixed Dem,Democracy,Mixed Dem,1999,1999,1,1
Dumitru Braghis,Moldova,359,359.0,Eastern Europe,Europe,Dumitru Braghis.Moldova.2000.2000.Parliamentary Dem,Democracy,Parliamentary Dem,2000,2000,1,1
Vasile Tarlev,Moldova,359,359.0,Eastern Europe,Europe,Vasile Tarlev.Moldova.2001.2007.Parliamentary Dem,Democracy,Parliamentary Dem,2001,2007,7,1
Zinaida Greceanii,Moldova,359,359.0,Eastern Europe,Europe,Zinaida Greceanii.Moldova.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,2008,1,0
Yumjaagiyn Tsedenbal,Mongolia,712,712.0,Eastern Asia,Asia,Yumjaagiyn Tsedenbal.Mongolia.1946.1953.Civilian Dict,Non-democracy,Civilian Dict,1946,1953,8,1
Dashiyn Damba,Mongolia,712,712.0,Eastern Asia,Asia,Dashiyn Damba.Mongolia.1954.1957.Civilian Dict,Non-democracy,Civilian Dict,1954,1957,4,1
Yumjaagiyn Tsedenbal,Mongolia,712,712.0,Eastern Asia,Asia,Yumjaagiyn Tsedenbal.Mongolia.1958.1983.Civilian Dict,Non-democracy,Civilian Dict,1958,1983,26,1
Jambyn Batmounkh,Mongolia,712,712.0,Eastern Asia,Asia,Jambyn Batmounkh.Mongolia.1984.1989.Civilian Dict,Non-democracy,Civilian Dict,1984,1989,6,1
Punsalmaagiyn Ochirbat,Mongolia,712,712.0,Eastern Asia,Asia,Punsalmaagiyn Ochirbat.Mongolia.1990.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1990,1991,2,1
Puntsagiyn Jasray,Mongolia,712,712.0,Eastern Asia,Asia,Puntsagiyn Jasray.Mongolia.1992.1995.Mixed Dem,Democracy,Mixed Dem,1992,1995,4,1
Mendsayhany Enkhsaikhan,Mongolia,712,712.0,Eastern Asia,Asia,Mendsayhany Enkhsaikhan.Mongolia.1996.1997.Mixed Dem,Democracy,Mixed Dem,1996,1997,2,1
Janlaviyn Narantsatsralt,Mongolia,712,712.0,Eastern Asia,Asia,Janlaviyn Narantsatsralt.Mongolia.1998.1998.Mixed Dem,Democracy,Mixed Dem,1998,1998,1,1
Rinchinnyamiyn Amarjargal,Mongolia,712,712.0,Eastern Asia,Asia,Rinchinnyamiyn Amarjargal.Mongolia.1999.1999.Mixed Dem,Democracy,Mixed Dem,1999,1999,1,1
Nambaryn Enkhbayar,Mongolia,712,712.0,Eastern Asia,Asia,Nambaryn Enkhbayar.Mongolia.2000.2003.Mixed Dem,Democracy,Mixed Dem,2000,2003,4,1
Tsakhiagiyn Elbegdorj,Mongolia,712,712.0,Eastern Asia,Asia,Tsakhiagiyn Elbegdorj.Mongolia.2004.2005.Mixed Dem,Democracy,Mixed Dem,2004,2005,2,1
Miyeegombo Enkhbold,Mongolia,712,712.0,Eastern Asia,Asia,Miyeegombo Enkhbold.Mongolia.2006.2006.Mixed Dem,Democracy,Mixed Dem,2006,2006,1,1
Sanj Bayar,Mongolia,712,712.0,Eastern Asia,Asia,Sanj Bayar.Mongolia.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2008,2,0
Filip Vujanovic,Montenegro,341,,Southern Europe,Europe,Filip Vujanovic.Montenegro.2006.2008.Civilian Dict,Non-democracy,Civilian Dict,2006,2008,3,0
Muhammad V,Morocco,600,600.0,Northern Africa,Africa,Muhammad V.Morocco.1956.1960.Monarchy,Non-democracy,Monarchy,1956,1960,5,0
Hassan II,Morocco,600,600.0,Northern Africa,Africa,Hassan II.Morocco.1961.1998.Monarchy,Non-democracy,Monarchy,1961,1998,38,0
Muhammad VI,Morocco,600,600.0,Northern Africa,Africa,Muhammad VI.Morocco.1999.2008.Monarchy,Non-democracy,Monarchy,1999,2008,10,0
Samora Machel,Mozambique,541,541.0,Eastern Africa,Africa,Samora Machel.Mozambique.1975.1985.Civilian Dict,Non-democracy,Civilian Dict,1975,1985,11,0
Joaquim Chissano,Mozambique,541,541.0,Eastern Africa,Africa,Joaquim Chissano.Mozambique.1986.2004.Civilian Dict,Non-democracy,Civilian Dict,1986,2004,19,1
Armando Emilio Guebuza,Mozambique,541,541.0,Eastern Africa,Africa,Armando Emilio Guebuza.Mozambique.2005.2008.Civilian Dict,Non-democracy,Civilian Dict,2005,2008,4,0
U Nu,Myanmar,775,775.0,South-Eastern Asia,Asia,U Nu.Myanmar.1948.1955.Parliamentary Dem,Democracy,Parliamentary Dem,1948,1955,8,1
U Ba Swe,Myanmar,775,775.0,South-Eastern Asia,Asia,U Ba Swe.Myanmar.1956.1956.Parliamentary Dem,Democracy,Parliamentary Dem,1956,1956,1,1
U Nu,Myanmar,775,775.0,South-Eastern Asia,Asia,U Nu.Myanmar.1957.1957.Parliamentary Dem,Democracy,Parliamentary Dem,1957,1957,1,1
Ne Win,Myanmar,775,775.0,South-Eastern Asia,Asia,Ne Win.Myanmar.1958.1959.Military Dict,Non-democracy,Military Dict,1958,1959,2,1
U Nu,Myanmar,775,775.0,South-Eastern Asia,Asia,U Nu.Myanmar.1960.1961.Parliamentary Dem,Democracy,Parliamentary Dem,1960,1961,2,1
Ne Win,Myanmar,775,775.0,South-Eastern Asia,Asia,Ne Win.Myanmar.1962.1987.Military Dict,Non-democracy,Military Dict,1962,1987,26,1
Khin Nyunt,Myanmar,775,775.0,South-Eastern Asia,Asia,Khin Nyunt.Myanmar.1988.1991.Military Dict,Non-democracy,Military Dict,1988,1991,4,1
Than Shwe,Myanmar,775,775.0,South-Eastern Asia,Asia,Than Shwe.Myanmar.1992.2008.Military Dict,Non-democracy,Military Dict,1992,2008,17,0
Sam Nujoma,Namibia,565,565.0,Southern Africa,Africa,Sam Nujoma.Namibia.1990.2004.Civilian Dict,Non-democracy,Civilian Dict,1990,2004,15,1
Hifikepunye Lucas Pohamba,Namibia,565,565.0,Southern Africa,Africa,Hifikepunye Lucas Pohamba.Namibia.2005.2008.Civilian Dict,Non-democracy,Civilian Dict,2005,2008,4,0
Hammer DeRoburt,Nauru,970,970.0,Micronesia,Oceania,Hammer DeRoburt.Nauru.1968.1975.Parliamentary Dem,Democracy,Parliamentary Dem,1968,1975,8,1
Bernard Dowiyogo,Nauru,970,970.0,Micronesia,Oceania,Bernard Dowiyogo.Nauru.1976.1977.Parliamentary Dem,Democracy,Parliamentary Dem,1976,1977,2,1
Hammer DeRoburt,Nauru,970,970.0,Micronesia,Oceania,Hammer DeRoburt.Nauru.1978.1988.Parliamentary Dem,Democracy,Parliamentary Dem,1978,1988,11,1
Bernard Dowiyoyo,Nauru,970,970.0,Micronesia,Oceania,Bernard Dowiyoyo.Nauru.1989.1994.Parliamentary Dem,Democracy,Parliamentary Dem,1989,1994,6,1
Lagumot Harris,Nauru,970,970.0,Micronesia,Oceania,Lagumot Harris.Nauru.1995.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1995,1995,1,1
Rueben Kun,Nauru,970,970.0,Micronesia,Oceania,Rueben Kun.Nauru.1996.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1996,1996,1,1
Kinza Clodumar,Nauru,970,970.0,Micronesia,Oceania,Kinza Clodumar.Nauru.1997.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1997,1997,1,1
Bernard Dowiyoyo,Nauru,970,970.0,Micronesia,Oceania,Bernard Dowiyoyo.Nauru.1998.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1998,1998,1,1
Rene Harris,Nauru,970,970.0,Micronesia,Oceania,Rene Harris.Nauru.1999.1999.Parliamentary Dem,Democracy,Parliamentary Dem,1999,1999,1,1
Bernard Dowiyoyo,Nauru,970,970.0,Micronesia,Oceania,Bernard Dowiyoyo.Nauru.2000.2000.Parliamentary Dem,Democracy,Parliamentary Dem,2000,2000,1,1
Rene Harris,Nauru,970,970.0,Micronesia,Oceania,Rene Harris.Nauru.2001.2003.Parliamentary Dem,Democracy,Parliamentary Dem,2001,2003,3,1
Ludwig Scotty,Nauru,970,970.0,Micronesia,Oceania,Ludwig Scotty.Nauru.2004.2006.Parliamentary Dem,Democracy,Parliamentary Dem,2004,2006,3,1
Marcus Stephen,Nauru,970,970.0,Micronesia,Oceania,Marcus Stephen.Nauru.2007.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2007,2008,2,0
Padma Shumshere Rana,Nepal,790,790.0,Southern Asia,Asia,Padma Shumshere Rana.Nepal.1946.1947.Civilian Dict,Non-democracy,Civilian Dict,1946,1947,2,1
Mohan Shumshere Rana,Nepal,790,790.0,Southern Asia,Asia,Mohan Shumshere Rana.Nepal.1948.1950.Civilian Dict,Non-democracy,Civilian Dict,1948,1950,3,1
Tribhuwan Bir Bikram Shah Deva,Nepal,790,790.0,Southern Asia,Asia,Tribhuwan Bir Bikram Shah Deva.Nepal.1951.1954.Monarchy,Non-democracy,Monarchy,1951,1954,4,0
Mahendra Bir Bikram Shah Deva,Nepal,790,790.0,Southern Asia,Asia,Mahendra Bir Bikram Shah Deva.Nepal.1955.1971.Monarchy,Non-democracy,Monarchy,1955,1971,17,0
Birendra Bir Bikram Shah Deva,Nepal,790,790.0,Southern Asia,Asia,Birendra Bir Bikram Shah Deva.Nepal.1972.1989.Monarchy,Non-democracy,Monarchy,1972,1989,18,1
Birendra Bir Bikram Shah Deva,Nepal,790,790.0,Southern Asia,Asia,Birendra Bir Bikram Shah Deva.Nepal.1990.1990.Parliamentary Dem,Democracy,Parliamentary Dem,1990,1990,1,1
